Point Id,Northing,Easting,Elevation,Code,Code Description,,,,
2150,6007971.892,639714.404,648.369,GS,GROUND SHOT,,,,
2151,6007970.531,639712.713,648.193,GS,GROUND SHOT,,,,
2152,6007969.489,639711.617,647.995,BED,BED,,,,
2153,6007968.83,639710.561,647.764,BED,BED,,,,
2154,6007968.057,639709.24,647.615,BED,BED,,,,
2155,6007967.142,639708.147,647.499,BED,BED,,,,
2156,6007966.184,639706.986,647.494,BED,BED,,,,
2157,6007965.59,639705.964,647.508,BED,BED,,,,
2158,6007965.318,639705.286,647.72,BED,BED,,,,
2159,6007965.041,639704.646,648.018,BOB,BOTTOM OF BANK,,,,
2160,6007964.6,639704.574,648.618,TOB,TOP OF BANK,,,,
2161,6007963.525,639700.97,650.807,TOB,TOP OF BANK,,,,
2162,6007963.147,639699.924,650.964,GS,GROUND SHOT,,,,
2163,6007955.989,639733.05,648.705,TL,TREELINE,,,,
2164,6007954.012,639731.81,648.734,TOB,TOP OF BANK,,,,
2165,6007952.395,639731.134,648.164,WL,WATERLEVEL,,,,
2166,6007951.213,639730.464,648.009,BED,BED,,,,
2167,6007950.19,639729.764,647.87,BED,BED,,,,
2168,6007948.639,639728.821,647.814,BED,BED,,,,
2169,6007948.632,639728.828,647.808,BED,BED,,,,
2170,6007947.022,639727.538,648.146,WL,WATERLEVEL,,,,
2171,6007946.791,639727.164,648.169,BAR,BAR,,,,
2172,6007945.116,639725.078,648.425,BAR,BAR,,,,
2173,6007944.785,639724.639,648.358,BAR,BAR,,,,
2174,6007944.475,639724.178,648.043,BAR,BAR,,,,
2175,6007944.429,639724.114,648.044,WL,WATERLEVEL,,,,
2176,6007944.274,639723.342,647.724,BED,BED,,,,
2177,6007943.289,639722.594,647.655,BED,BED,,,,
2178,6007942.454,639721.573,647.745,BED,BED,,,,
2179,6007942.018,639721.006,648.038,WL,WATERLEVEL,,,,
2180,6007942.005,639720.457,648.17,BOB,BOTTOM OF BANK,,,,
2181,6007941.196,639719.877,649.211,TOB,TOP OF BANK,,,,
2182,6007920.771,639746.131,649.087,GS,GROUND SHOT,,,,
2183,6007926.868,639752.544,649.015,GS,GROUND SHOT,,,,
2184,6007932.735,639757.427,648.294,WL,WATERLEVEL,,,,
2185,6007934.574,639759.073,648.122,BED,BED,,,,
2186,6007936.024,639760.347,648.053,BED,BED,,,,
2187,6007937.043,639761.184,647.892,BED,BED,,,,
2188,6007937.737,639761.58,647.428,BED,BED,,,,
2189,6007938.378,639761.889,647.36,BED,BED,,,,
2190,6007938.378,639761.889,647.345,BED,BED,,,,
2191,6007938.607,639762.417,647.501,BED,BED,,,,
2192,6007939.138,639762.841,647.854,BED,BED,,,,
2193,6007939.054,639763.319,649.022,TOB,TOP OF BANK,,,,
2194,6007940.474,639764.541,649.131,GS,GROUND SHOT,,,,
2195,6007907.251,639759.772,649.327,GS,GROUND SHOT,,,,
2196,6007906.139,639763.743,649.009,GS,GROUND SHOT,,,,
2197,6007906.092,639765.166,648.674,GS,GROUND SHOT,,,,
2198,6007905.338,639769.808,648.469,GS,GROUND SHOT,,,,
2199,6007904.683,639771.024,648.342,WL,WATERLEVEL,,,,
2200,6007904.202,639772.436,647.966,BED,BED,,,,
2201,6007903.394,639774.262,647.837,BED,BED,,,,
2202,6007902.592,639775.873,647.816,BED,BED,,,,
2203,6007902.401,639777.337,647.984,BED,BED,,,,
2204,6007902.4,639778.881,648.116,BED,BED,,,,
2205,6007902.572,639779.395,648.336,WL,WATERLEVEL,,,,
2206,6007902.5,639780.155,648.551,GS,GROUND SHOT,,,,
2207,6007902.419,639781.188,649.072,BOB,BOTTOM OF BANK,,,,
2208,6007902.57,639782.325,650.377,TOB,TOP OF BANK,,,,
2209,6007902.326,639784.026,650.22,GS,GROUND SHOT,,,,
2210,6007868.822,639764.665,649.714,TL,TREELINE,,,,
2211,6007868.798,639763.996,649.58,TOB,TOP OF BANK,,,,
2212,6007868.737,639763.093,648.86,BOB,BOTTOM OF BANK,,,,
2213,6007868.284,639761.809,648.554,WL,WATERLEVEL,,,,
2214,6007867.964,639761.043,648.448,BED,BED,,,,
2215,6007867.393,639760.28,648.45,BED,BED,,,,
2216,6007866.687,639759.563,648.359,BED,BED,,,,
2217,6007865.975,639758.957,648.21,BED,BED,,,,
2218,6007865.546,639758.358,648.458,BED,BED,,,,
2219,6007865.193,639757.724,648.644,WL,WATERLEVEL,,,,
2220,6007864.56,639757.013,648.747,BOB,BOTTOM OF BANK,,,,
2221,6007864.094,639756.472,649.066,TOB,TOP OF BANK,,,,
2222,6007862.624,639754.722,649.175,GS,GROUND SHOT,,,,
2223,6007840.725,639770.71,649.73,GS,GROUND SHOT,,,,
2224,6007834.245,639774.624,649.443,GS,GROUND SHOT,,,,
2225,6007835.6,639778.816,649.816,GS,GROUND SHOT,,,,
2226,6007836.606,639780.749,649.903,TOB,TOP OF BANK,,,,
2227,6007837.177,639781.332,649.066,BOB,BOTTOM OF BANK,,,,
2228,6007837.488,639781.945,648.691,BED,BED,,,,
2229,6007837.709,639782.958,648.692,BED,BED,,,,
2230,6007837.939,639784.969,648.7,BED,BED,,,,
2231,6007838.528,639786.977,648.694,BED,BED,,,,
2232,6007838.299,639788.78,648.947,BED,BED,,,,
2233,6007838.408,639789.389,649.002,GS,GROUND SHOT,,,,
2234,6007839.272,639792.519,649.293,GS,GROUND SHOT,,,,
2235,6007800.758,639797.112,652.03,GS,GROUND SHOT,,,,
2236,6007801.985,639797.996,651.975,TOB,TOP OF BANK,,,,
2237,6007803.156,639799.385,649.792,BOB,BOTTOM OF BANK,,,,
2238,6007804.045,639799.827,649.6,GS,GROUND SHOT,,,,
2239,6007804.521,639800.136,649.503,WL,WATERLEVEL,,,,
2240,6007805.079,639800.589,649.308,BED,BED,,,,
2241,6007806.788,639802.344,649.216,BED,BED,,,,
2242,6007808.474,639803.733,649.118,BED,BED,,,,
2243,6007809.831,639804.787,649.173,BED,BED,,,,
2244,6007810.907,639806.517,649.313,BED,BED,,,,
2245,6007811.758,639807.998,649.508,BAR,BAR,,,,
2246,6007811.986,639809.085,649.529,BAR,BAR,,,,
2247,6007812.238,639809.865,649.312,BED,BED,,,,
2248,6007813.335,639810.77,649.193,BED,BED,,,,
2249,6007813.848,639811.353,649.459,WL,WATERLEVEL,,,,
2250,6007814.041,639811.301,649.595,BOB,BOTTOM OF BANK,,,,
2251,6007814.372,639811.511,649.954,TOB,TOP OF BANK,,,,
2252,6007815.144,639812.138,649.977,TL,TREELINE,,,,
2254,6007768.589,639854.885,650.385,GS,GROUND SHOT,,,,
2255,6007770.168,639857.628,650.007,GS,GROUND SHOT,,,,
2256,6007772.399,639860.073,649.79,GS,GROUND SHOT,,,,
2257,6007772.802,639860.811,649.772,WL,WATERLEVEL,,,,
2258,6007773.713,639861.6,649.652,BED,BED,,,,
2259,6007774.744,639862.459,649.448,BED,BED,,,,
2260,6007775.423,639863.821,649.446,BED,BED,,,,
2261,6007776.623,639864.937,649.445,BED,BED,,,,
2262,6007777.344,639865.583,649.747,WL,WATERLEVEL,,,,
2263,6007777.987,639866.171,650.061,BOB,BOTTOM OF BANK,,,,
2264,6007779.353,639868.379,654.806,TOB,TOP OF BANK,,,,
2265,6007779.254,639868.297,654.843,TOB,TOP OF BANK,,,,
2266,6007749.223,639877.006,650.401,TL,TREELINE,,,,
2267,6007748.071,639878.89,650.178,GS,GROUND SHOT,,,,
2268,6007747.889,639880.146,650.086,WL,WATERLEVEL,,,,
2269,6007747.873,639881.21,649.907,BED,BED,,,,
